Title,Author,Year,Publisher
"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!",Andrew Macarthy,2017,[Andrew Macarthy]
"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand",Ekaterina Walter,2014,McGraw-Hill
"Social Media Strategy: Marketing, Advertising, and Public Relations in the Consumer Revolution",Keith Quesenberry,2018,Rowman & Littlefield Publishers
"Social Media Marketing Mastery (2 Manuscripts in 1): The Ultimate Practical Guide to Marketing, Advertising, Growing Your Business and Becoming an Influencer ... with Facebook, Instagram, Youtube and More",Clyne Gary,2019,Gary Clyne
"Storytelling: Manipulation of the Audience - How to Learn to Skyrocket Your Personal Brand and Online Business Using the Power of Social Media Marketing, Including Instagram, Facebook and YouTube",Daniel Anderson,2019,
"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",ALLAN KANE,2020,
"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income",Digital Business Academy [Digital Business Academy],2021,Independently published
"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series) (Scanned PDF)",Ann Handley,2010,Wiley
"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more",Kipp Bodnar,2012,Wiley
Social Media Marketing All-in-One For Dummies,Jan Zimmerman,2017,John Wiley & Sons
Ten Arguments For Deleting Your Social Media Accounts Right Now,Jaron Lanier,2018,The Bodley Head Ltd
Digital And Social Media Marketing: Emerging Applications And Theoretical Development,Nripendra P. Rana,2020,Springer
"Mind Wars: A History of Mind Control, Surveillance, and Social Engineering by the Government, Media, and Secret Societies",Marie D. Jones,2015,Red Wheel/Weiser
"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Instagram, GitHub, and More",Russell,2019,O'Reilly Media
"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More",Jenkins,2016,
"Social media marketing workbook 2019: how to leverage the power of Facebook advertising, Instagram marketing, YouTube and SEO to explode your business and personal brand",Schaffner,2019,Social Media Guru
"Social Media Marketing, 3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",Miller,2020,
Social Media Marketing For Dummies,Shiv Singh,2020,John Wiley & Sons
